,open,high,low,close,volume,time,BB,A,g_buy,g_sell,pos,trade
2025-03-19,77.53,79.0,75.95,76.4,68115,1742313600000,78.4222927790473,76.84100000000001,0,0,0,
2025-03-20,75.97999999999999,76.86999999999999,74.88,75.39,43733,1742400000000,77.41152851936486,75.60499999999999,0,0,0,
2025-03-21,75.5,75.85000000000001,71.81,72.95,63199,1742486400000,75.92435234624325,73.63600000000001,0,0,0,
2025-03-24,73.16,74.64999999999999,70.66,72.64999999999999,52599,1742745600000,75.13706145706145,72.753,0,0,0,
2025-03-25,72.88000000000001,74.43,71.26,71.63000000000001,45841,1742832000000,74.42073361823363,72.12300000000002,0,0,0,
2025-03-26,72.23,73.87,71.15,73.0,50254,1742918400000,74.16918091168091,72.748,0,0,0,
2025-03-27,72.45,77.39999999999999,71.3,75.17999999999999,87709,1743004800000,74.34368640618641,74.46799999999999,1,0,0,
2025-03-28,74.42999999999999,76.3,74.02,75.44,43622,1743091200000,74.60769841269841,75.18199999999999,0,0,1,BUY
2025-03-31,75.39999999999999,77.98,72.58,73.35,69453,1743350400000,74.50122303622304,74.146,0,1,1,
2025-04-01,74.1,74.99000000000001,67.92,68.60000000000001,121127,1743436800000,73.6359940984941,70.271,0,0,0,SELL
2025-04-02,68.8,72.31,68.8,70.07,58392,1743523200000,72.93082417582418,69.913,0,0,0,
2025-04-03,69.36999999999999,71.22,66.27,66.61,53239,1743609600000,71.97866096866098,67.589,0,0,0,
2025-04-07,60.0,62.0,53.29,54.71,140947,1743955200000,69.58326007326008,56.355,0,0,0,
2025-04-08,54.7,56.35,53.07,54.81,104147,1744041600000,67.04584554334554,54.76800000000001,0,0,0,
2025-04-09,52.8,58.13,51.5,57.0,90155,1744128000000,65.15723137973139,55.723,0,0,0,
2025-04-10,63.0,63.9,59.0,60.01,109822,1744214400000,64.83427146927147,60.896,0,0,0,
2025-04-11,59.46,63.45,59.0,63.2,66958,1744300800000,65.14236874236875,62.057,0,0,0,
2025-04-14,64.5,66.18,62.2,62.53,68331,1744560000000,65.0971571021571,63.25599999999999,0,0,0,
2025-04-15,62.050000000000004,62.620000000000005,59.800000000000004,60.61000000000001,51949,1744646400000,64.48691697191697,61.01800000000001,0,0,0,
2025-04-16,60.61,60.9,58.69,60.059999999999995,48921,1744732800000,63.84833028083028,60.117,0,0,0,
2025-04-17,59.4,61.49,59.39,59.63,39505,1744819200000,63.250416157916156,59.746,0,0,0,
2025-04-18,59.5,61.2,59.25,60.07,24633,1744905600000,62.81578551078552,59.987,0,0,0,
2025-04-21,60.07,63.99,59.71,63.86,52741,1745164800000,62.99213166463167,62.7,0,0,0,
2025-04-22,63.13,63.79,62.0,62.01,31390,1745251200000,62.810835368335376,62.411,0,0,0,
2025-04-23,63.5,66.5,62.88,65.2,66248,1745337600000,63.15472527472528,64.75800000000001,1,0,0,
2025-04-24,64.7,65.34,63.25,63.72,33613,1745424000000,63.309065934065934,64.03099999999999,0,0,1,BUY
2025-04-25,64.36,65.55,63.160000000000004,64.4,33043,1745510400000,63.72358160358161,64.38300000000001,0,0,1,
2025-04-28,64.38,65.26,63.11,64.91,38527,1745769600000,63.933712861212854,64.65899999999999,0,0,1,
2025-04-29,64.34,64.66,60.9,63.58,49136,1745856000000,64.00670533170533,65.28683943833944,0,0,1,
2025-04-30,63.28,68.07,63.26,67.67999999999999,47198,1745942400000,64.45382478632479,66.39699999999999,0,0,1,
2025-05-06,67.89,69.60000000000001,67.15,68.28,36809,1746460800000,65.02870065120065,68.221,0,0,1,
2025-05-07,70.17,71.4,66.7,68.0,51508,1746547200000,65.60553825803825,68.644,0,0,1,
2025-05-08,68.0,69.66,67.13,67.92,39724,1746633600000,65.87965506715507,68.03099999999999,0,0,1,
2025-05-09,67.05,67.95,64.17,64.8,49970,1746720000000,65.60725274725274,65.502,0,1,1,
2025-05-12,66.0,73.39,65.6,68.58999999999999,110082,1746979200000,65.8882682132682,68.253,0,0,0,SELL
2025-05-13,69.5,70.60000000000001,65.9,66.4,75033,1747065600000,65.84681013431013,67.39000000000001,0,0,0,
2025-05-14,66.23,66.49,63.5,66.0,64012,1747152000000,65.93946682946682,67.25825616605616,0,0,0,
2025-05-15,65.9,66.48,62.9,63.25,45800,1747238400000,65.21417582417583,64.06800000000001,0,1,0,
2025-05-16,62.7,65.5,62.7,63.510000000000005,42568,1747324800000,64.78024318274319,63.46600000000001,0,0,0,
2025-05-19,63.25,64.3,60.910000000000004,63.050000000000004,40737,1747584000000,64.41174196174197,63.001,0,0,0,
2025-05-20,62.77,63.89,62.46,62.96,24498,1747670400000,64.35982397232398,62.964999999999996,0,0,0,
2025-05-21,63.05,64.48,62.14,64.22,41867,1747756800000,64.34207875457876,63.803999999999995,0,0,0,
2025-05-22,63.6,64.27000000000001,61.230000000000004,61.370000000000005,55213,1747843200000,63.91368233618234,62.092000000000006,0,0,0,
2025-05-23,61.16,61.98,60.0,60.0,32235,1747929600000,63.263869556369556,60.42999999999999,0,0,0,
2025-05-26,60.050000000000004,60.300000000000004,58.800000000000004,59.17,35961,1748188800000,62.49640313390314,59.422000000000004,0,0,0,
2025-05-27,58.91,59.49,57.65,57.97,37991,1748275200000,61.79942205942206,58.278,0,0,0,
2025-05-28,57.989999999999995,59.51,57.26,58.47,29076,1748361600000,61.37189763939764,58.35699999999999,0,0,0,
2025-05-29,59.23,60.3,58.82,59.92,34890,1748448000000,61.16178062678063,59.709999999999994,0,0,0,
2025-05-30,59.800000000000004,60.18000000000001,58.09,58.790000000000006,35426,1748534400000,60.877987382987385,59.061,0,0,0,
2025-06-03,58.31,58.5,56.5,57.53,38972,1748880000000,60.441015466015465,57.67999999999999,0,0,0,
